order_id,checkout_id,brand_id,retailer_id,order_amount,has_discount,fees_percentage,payment_cost_percentage,shipping_cost_euro
5909,1413,66,343,"386,43",0,"0,15","0,05","29,9795359"
875,478,66,1235,"614,67",0,"0,15","0,05","53,8833857"
927,512,66,1337,"1196,08",0,"0,15","0,05","66,4652087"
6477,1875,66,1337,"1761,34",0,"0,15","0,05","184,692535"
1821,860,66,2099,"363,53",0,"0,15","0,05","31,8408387"
6927,861,66,2099,"128,81",0,"0,15","0,05","12,0260004"
3091,1400,66,3395,"600,92",100,"0,05","0,05","32,4784197"
4410,1747,66,4337,"349,63",0,"0,15","0,05","28,0236047"
8021,2895,66,5213,"1366,07",0,"0,15","0,05","121,057568"
9318,3310,66,6297,"558,65",0,"0,15","0,05","29,4020103"
11950,3311,66,6297,"138,02",0,"0,15","0,05","12,0491662"
9636,3412,66,6400,"847,81",100,"0,05","0,05","109,03628"
10087,3527,66,6564,"388,66",100,"0,05","0,05","43,1980969"
10984,3780,66,6834,"416,09",0,"0,15","0,05","58,2123184"
11980,3782,66,6834,"244,8",0,"0,15","0,05","23,5197084"
5304,1350,69,550,197,100,"0,05","0,05","13,75"
2399,1107,69,1613,"202,5",100,"0,05","0,05","18,75"
8412,2931,69,5787,"109,5",0,"0,15","0,05","22,45"
10105,3411,72,6359,"206,4",0,"0,15","0,05",14
11052,3648,72,6613,"147,6",0,"0,15","0,05",13
1637,144,77,8,"105,4",0,"0,15","0,05","8,94"
1020,551,77,626,102,0,"0,15","0,05","8,94"
4889,2237,77,2133,"180,21",0,"0,15","0,05","14,56"
2194,955,79,149,"201,6",100,"0,05","0,05","22,82"
8710,3106,79,271,"151,2",0,"0,15","0,05","35,56"
3256,1455,79,373,"218,4",0,"0,15","0,05","35,56"
795,431,79,410,"621,6",0,"0,15","0,05","19,0685957"
1102,573,79,557,"268,8",0,"0,15","0,05","22,82"
899,497,79,1010,"302,4",0,"0,15","0,05","24,74"
7817,560,79,1010,"134,4",0,"0,15","0,05","24,04"
10204,3565,79,1041,"373,2",0,"0,15","0,05","56,18"
896,495,79,1046,252,0,"0,15","0,05","47,34"
1095,596,79,1093,"302,4",0,"0,15","0,05","24,74"
749,413,79,1179,504,0,"0,15","0,05","37,8763325"
7317,2682,79,1213,"873,6",0,"0,15","0,05","50,79"
801,436,79,1218,420,0,"0,15","0,05","56,1654949"
873,476,79,1275,"302,4",0,"0,15","0,05","16,082384"
5743,1920,79,1275,"151,2",0,"0,15","0,05","24,04"
1051,569,79,1446,"151,2",0,"0,15","0,05","19,97"
