,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
3441,3441,tt0105328,Schtonk,Helmut Dietl,Schtonk,1992-01-01,115,7,3850,Comedy,"Christiane Hörbiger, Thomas Tipton, Dagmar Manzel, Götz George"
3442,3442,tt0105342,L'ombre du doute,Aline Issermann,L'ombre du doute,1993-01-01,107,6,168,Drama,"Aline Issermann, Patrick Lancelot, Mireille Perrier"
3443,3443,tt0105344,Secrets,Michael Pattinson,Secrets,1992-01-01,92,5,180,Drama,"Beth Champion, Beth Champion"
3444,3444,tt0105352,¶­¶­Semos peligrosos!! (usǸase Makinavaja 2),Carlos Suárez,¶­¶­Semos peligrosos!! (usǸase Makinavaja 2),1993-01-01,91,5,240,Comedy,"Pedro Reyes, Andrés Pajares"
3445,3445,tt0105356,The Sentinel,Arnaud Desplechin,La sentinelle,1992-01-01,139,6,881,Drama,"Arnaud Desplechin, Emmanuel Salinger, Jean-Pierre Ducos"
3446,3446,tt0105378,Shadows and Fog,Woody Allen,Shadows and Fog,1991-01-01,85,6,17572,Comedy,"Anne Lange, Katy Dierlam, Woody Allen"
3447,3447,tt0105381,Lord of East China Sea,Man Kit Poon,Shang Hai huang di: Sui yue feng yun,1993-01-01,150,6,164,Crime,Ray Lui
3448,3448,tt0105382,Dust of Angels,Hsiao-Ming Hsu,"Shao nian ye, an la!",1992-01-01,105,7,264,Action,"Wu Bai, Hsiao-Ming Hsu, Shih Chang"
3449,3449,tt0105384,Pom Pom and Hot Hot,Tung Cho 'Joe' Cheung,San cheung sau yue ga lei gai,1992-01-01,93,6,113,Action,"Bonnie Fu, Jacky Cheung"
3450,3450,tt0105385,"Justice, My Foot!",Johnnie To,Sam sei goon,1992-01-01,102,6,2939,Action,Stephen Chow
3451,3451,tt0105386,The Magic Touch,Michael Hui,Shen suan,1992-01-01,100,6,187,Comedy,"Ricky Hui, Michael Hui"
3452,3452,tt0105388,"Sumo Do, Sumo Don't",Masayuki Suô,Shiko funjatta.,1992-01-01,105,7,939,Comedy,"Masahiro Motoki, Robert Hoffman, Masahiro Motoki"
3453,3453,tt0105391,Shining Through,David Seltzer,Shining Through,1992-01-01,132,6,10312,Drama,"Peter Flechtner, Stefan Diepenbrock, Renate Cyll, Michael Douglas"
3454,3454,tt0105394,Shola Aur Shabnam,David Dhawan,Shola Aur Shabnam,1992-01-01,165,6,1118,Action,Govinda
3455,3455,tt0105395,Shootfighter: Fight to the Death,Patrick Alan,Shootfighter: Fight to the Death,1993-01-01,96,5,1352,Action,"Hakim Alston, Dino Homsey, John Barrett, Bolo Yeung"
3456,3456,tt0105396,Shooting Elizabeth,Baz Taylor,Shooting Elizabeth,1992-01-01,91,5,619,Comedy,"José Conde, Anna Larreta, Gustavo Pérez de Ayala, Jeff Goldblum"
3457,3457,tt0105400,All Men Are Brothers: Blood of the Leopard,Billy Chan,Shui hu zhuan zhi ying xiong ben se,1993-01-01,97,6,289,Action,"Elvis Tsui, Chung-Min Yang"
3458,3458,tt0105402,Sidekicks,Aaron Norris,Sidekicks,1992-01-01,101,5,9283,Action,"Leland Sun, John Buchanan, Steven K. Barnett, Chuck Norris"
3459,3459,tt0105411,Simple Men,Hal Hartley,Simple Men,1992-01-01,105,7,4549,Crime,"Chris Cooke, Karen Sillas, Robert John Burke"
3460,3460,tt0105414,Single White Female,Barbet Schroeder,Single White Female,1992-01-01,107,6,39173,Drama,"Bridget Fonda, Jessica Lundy, Jennifer Jason Leigh, Bridget Fonda"
3461,3461,tt0105415,Singles,Cameron Crowe,Singles,1992-01-01,99,6,31142,Comedy,"Campbell Scott, Matt Cameron, Cameron Crowe, Bridget Fonda"
3462,3462,tt0105417,Sister Act,Emile Ardolino,Sister Act,1992-01-01,100,6,102514,Comedy,"Kathy Najimy, Whoopi Goldberg, Beth Fowler"
3463,3463,tt0105423,A skorpiÇü megeszi az ikreket reggelire,Péter Gárdos,A skorpiÇü megeszi az ikreket reggelire,1992-01-01,89,7,194,Comedy,"Erika Pápai, József Kardos, János Novák, Péter Rudolf"
3464,3464,tt0105428,Sleepwalkers,Mick Garris,Sleepwalkers,1992-01-01,91,5,23355,Fantasy,"Don Buchsbaum, Alice Krige, Brian Krause"
3465,3465,tt0105435,Sneakers,Phil Alden Robinson,Sneakers,1992-01-01,126,7,60259,Comedy,"George Hearn, Nandi Bowe, R.C. Everbeck, Robert Redford"
3466,3466,tt0105436,Sofie,Liv Ullmann,Sofie,1992-01-01,151,6,236,Drama,"Cecilia Drott, Jonas Oddermose, Elna Brodthagen, Karen-Lise Mynster"
3467,3467,tt0105437,Soft Top Hard Shoulder,Stefan Schwartz,Soft Top Hard Shoulder,1992-01-01,91,6,235,Drama,"Elaine Collins, Peter Capaldi"
3468,3468,tt0105448,Le souper,Édouard Molinaro,Le souper,1992-01-01,90,7,617,Drama,"Jean-Claude Brisville, Claude Brasseur, Michel Piccoli"
3469,3469,tt0105450,South Central,Stephen Milburn Anderson,South Central,1992-01-01,98,6,6369,Crime,"Musa Bakeer, Rana Kirkland, Glenn Plummer"
3470,3470,tt0105459,Split Second,Tony Maylam,Split Second,1992-01-01,90,6,15620,Action,"Rikki Howard, Chris Chappell, Humphrey Bangham, Rutger Hauer"
3471,3471,tt0105464,Star Time,Alexander Cassini,Star Time,1992-01-01,85,5,378,Crime,"Judy Carmen, Alexander Cassini, John P. Ryan"
3472,3472,tt0105466,Stay Tuned,Peter Hyams,Stay Tuned,1992-01-01,88,6,13409,Adventure,"Lou Albano, Pam Dawber, John Ritter"
3473,3473,tt0105474,Stilles Land,Andreas Dresen,Stilles Land,1992-01-01,95,6,120,Comedy,"Marlies Butzlaff, Mathias Noack, Heinz Lyschik, Thorsten Merten"
3474,3474,tt0105476,The Stone,Aleksandr Sokurov,Kamen,1992-01-01,83,6,332,Drama,Leonid Mozgovoy
3475,3475,tt0105480,Storyville,Mark Frost,Storyville,1992-01-01,113,5,1366,Drama,"Justine Shapiro, Robert Macklin, James Spader"
3476,3476,tt0105481,Straight Talk,Barnet Kellman,Straight Talk,1992-01-01,91,5,3846,Comedy,"Etel Billig, Robin Eurich"
3477,3477,tt0105483,A Stranger Among Us,Sidney Lumet,A Stranger Among Us,1992-01-01,110,5,4021,Crime,"Robert J. Avrech, Jack Beers, Melanie Griffith"
3478,3478,tt0105487,Street Wars,Jamaa Fanaka,Street Wars,1991-01-01,92,5,105,Action,Jamaa Fanaka
3479,3479,tt0105488,Strictly Ballroom,Baz Luhrmann,Strictly Ballroom,1992-01-01,94,7,28434,Comedy,"Kris McQuade, Bill Hunter, Pip Mushin, Paul Mercurio"
3480,3480,tt0105508,Swoon,Tom Kalin,Swoon,1992-01-01,93,6,1870,Crime,"Nashom Wooden, Craig Chester, Elion Sacker"
3481,3481,tt0105511,Sunday's Children,Daniel Bergman,SÇôndagsbarn,1992-01-01,118,7,851,Adventure,"Thommy Berggren, Jacob Leygraf, Maria Bolme, Henrik Linnros"
3482,3482,tt0105519,Tahader Katha,Buddhadev Dasgupta,Tahader Katha,1992-01-01,95,7,164,Drama,Mithun Chakraborty
3483,3483,tt0105526,The Taking of Beverly Hills,Sidney J. Furie,The Taking of Beverly Hills,1991-01-01,96,5,1300,Action,"Enrique Morales, Alonna Shaw, Ken Wahl"
3484,3484,tt0105527,Tale of a Vampire,Shimako Sato,Tale of a Vampire,1992-01-01,93,5,751,Drama,"Shimako Sato, Andrew Rigney, Julian Sands"
3485,3485,tt0105531,Tango Argentino,Goran Paskaljevic,Tango argentino,1992-01-01,91,7,819,Drama,Mija Aleksic
3486,3486,tt0105534,Fight Back to School II,Gordon Chan,To hok wai lung 2,1992-01-01,106,6,2783,Action,"Athena Chu, Stephen Chow"
3487,3487,tt0105569,Tetsuo II: Body Hammer,Shin'ya Tsukamoto,Tetsuo II: Body Hammer,1992-01-01,83,6,4768,Drama,"Torauemon Utazawa, Tomorô Taguchi"
3488,3488,tt0105572,That Night,Craig Bolotin,That Night,1992-01-01,89,6,2994,Drama,"Lucy Roucis, John Dossett, C. Thomas Howell"
3489,3489,tt0105573,There Goes the Neighborhood,Bill Phillips,There Goes the Neighborhood,1992-01-01,88,5,1202,Comedy,"Kristopher Kent Hill, Harold Boihem, Jerry Bossard, Jeff Daniels"
3490,3490,tt0105575,Thevar Magan,Bharathan,Thevar Magan,1992-01-01,145,8,7486,Drama,"Shivaji Ganesan, Bharathan, Kamal Haasan"
3491,3491,tt0105577,This Is My Life,Nora Ephron,This Is My Life,1992-01-01,105,6,1325,Drama,"Max Bernstein, Julie Kavner"
3492,3492,tt0105585,Thunderheart,Michael Apted,Thunderheart,1992-01-01,119,6,16531,Crime,"Dennis Banks, Sheila Tousey, Julius Drum, Val Kilmer"
3493,3493,tt0105589,A Moment of Romance II,Benny Chan,Tin joek yau ching II: Tin cheung dei gau,1993-01-01,87,6,258,Action,Aaron Kwok
3494,3494,tt0105592,Tiger Claws,Kelly Makin,Tiger Claws,1991-01-01,92,5,1164,Action,"Colt Steele, Franz Fridal, Cynthia Rothrock"
3495,3495,tt0105593,The Tigress,Karin Howard,Die Tigerin,1992-01-01,83,5,104,Crime,"Monica Gruber, Ute Badura, Gerhard Bös, Valentina Vargas"
3496,3496,tt0105597,Timebomb,Avi Nesher,Timebomb,1991-01-01,96,5,1912,Action,"Steven J. Oliver, Ray 'Boom Boom' Mancini, Michael Biehn"
3497,3497,tt0105599,Tirangaa,Mehul Kumar,Tirangaa,1992-01-01,168,6,2107,Action,"Varsha Usgaonkar, Raaj Kumar"
3498,3498,tt0105600,The Clean Machine,Jean Beaudry,Tirelire Combines & Cie,1992-01-01,90,6,180,Adventure,"Maxime Collin, Marc-André Coallier, Vincent Bolduc"
3499,3499,tt0105602,Tito and Me,Goran Markovic,Tito i ja,1992-01-01,118,8,5884,Comedy,"Ilija Basic, Zeljko Antovic, Milutin Dapcevic, Dimitrije Vojnov"
3500,3500,tt0105611,Together Alone,P.J. Castellaneta,Together Alone,1991-01-01,87,7,122,Drama,P.J. Castellaneta
3501,3501,tt0105614,Tolgo il disturbo,Dino Risi,Tolgo il disturbo,1990-01-01,94,6,175,Drama,Vittorio Gassman
3502,3502,tt0105616,Tom and Jerry: The Movie,Phil Roman,Tom and Jerry: The Movie,1992-01-01,84,5,11465,Adventure,"Lance Kramer, Ed Gilbert, Dana Hill, Richard Kind"
3503,3503,tt0105619,The Heroic Trio,Johnnie To,Dung fong sam hap,1993-01-01,88,6,3779,Action,"Anita Mui, Michelle Yeoh"
3504,3504,tt0105622,Tokyo Decadence,Ryû Murakami,Topǽzu,1992-01-01,135,5,3374,Drama,"Yayoi Kusama, Miho Nikaido"
3505,3505,tt0105626,Sweetheart,Michel Deville,Toutes peines confondues,1992-01-01,107,6,354,Crime,"François Loriquet, Patrick Bruel"
3506,3506,tt0105629,Toys,Barry Levinson,Toys,1992-01-01,118,5,32672,Adventure,"Clinton Allmon, Blake Clark, Kate Benton, Robin Williams"
3507,3507,tt0105631,Traces of Red,Andy Wolk,Traces of Red,1992-01-01,105,5,1785,Crime,"Rex Benson, Jim Belushi"
3508,3508,tt0105636,Trespass,Walter Hill,Trespass,1992-01-01,101,6,13328,Action,"Junior Brown, Art Evans, Stoney Jackson, Bill Paxton"
3509,3509,tt0105645,Trouble Bound,Jeffrey Reiner,Trouble Bound,1993-01-01,90,5,961,Action,"Eric Brown, Billy Bastiani, Michael Madsen"
3510,3510,tt0105651,The Prodigal Son,Veikko Aaltonen,Tuhlaajapoika,1992-01-01,97,7,416,Drama,"Turo Pajala, Veikko Aaltonen, Hannu Kivioja"
3511,3511,tt0105652,Pushing Hands,Ang Lee,Tui shou,1991-01-01,105,7,4525,Comedy,"Sihung Lung, Lai Wang, Sihung Lung"
3512,3512,tt0105659,The Turn of the Screw,Rusty Lemorande,The Turn of the Screw,1992-01-01,95,5,575,Horror,"Victoria Galbraith, Bryony Brind, Patsy Kensit"
3513,3513,tt0105665,Twin Peaks: Fire Walk with Me,David Lynch,Twin Peaks: Fire Walk with Me,1992-01-01,134,7,99737,Drama,"David Lynch, Mädchen Amick, Peggy Lipton, Sheryl Lee"
3514,3514,tt0105675,The Blue Eyes of Yonta,Flora Gomes,Udju Azul di Yonta,1992-01-01,90,6,139,Drama,Flora Gomes
3515,3515,tt0105676,Kill Fee,James Becket,Ulterior Motives,1992-01-01,95,5,215,Action,"James Becket, Thomas Ian Griffith"
3516,3516,tt0105682,Un Coeur en Hiver,Claude Sautet,Un coeur en hiver,1992-01-01,105,7,10251,Drama,"Jacques Fieschi, Daniel Auteuil"
3517,3517,tt0105690,Under Siege,Andrew Davis,Under Siege,1992-01-01,103,6,90432,Action,"Steven Seagal, Gary Busey, Erika Eleniak, Steven Seagal"
3518,3518,tt0105691,Under Suspicion,Simon Moore,Under Suspicion,1991-01-01,99,6,4648,Crime,"Lyle Moraine, Gordon Salkilld, Michael Almaz, Liam Neeson"
3519,3519,tt0105695,Unforgiven,Clint Eastwood,Unforgiven,1992-01-01,130,8,418158,Drama,"Jack N. Green, Gene Hackman, Richard Harris, Clint Eastwood"
3520,3520,tt0105698,Universal Soldier,Roland Emmerich,Universal Soldier,1992-01-01,102,6,92283,Action,"Dolph Lundgren, Jerry Orbach, Ally Walker, Jean-Claude Van Damme"
3521,3521,tt0105699,Unlawful Entry,Jonathan Kaplan,Unlawful Entry,1992-01-01,111,6,17807,Crime,"T.J. McInturff, Ken Lerner, Myim Rose, Kurt Russell"
3522,3522,tt0105706,Used People,Beeban Kidron,Used People,1992-01-01,115,6,1547,Comedy,"Ida Bernardini, Sam Hutchison, Shirley MacLaine"
3523,3523,tt0105709,Out of Order,Knut Bohwim,Ute av drift!,1992-01-01,110,7,219,Comedy,"Kirsti Sparboe, Kim Fangen, Rolv Wesenlund"
3524,3524,tt0105712,Utz,George Sluizer,Utz,1992-01-01,98,6,239,Adventure,"Marie Franková, Marjol Flore, George Sluizer, Armin Mueller-Stahl"
3525,3525,tt0105719,The Vagrant,Chris Walas,The Vagrant,1992-01-01,91,5,1811,Comedy,"Mark DeMichele, Katherine Gosney, Bill Paxton"
3526,3526,tt0105729,Venice/Venice,Henry Jaglom,Venice/Venice,1992-01-01,108,6,263,Drama,"Gaye Kruger, Barbara Berque, Vernon Dobtcheff"
3527,3527,tt0105744,The Journey,Fernando E. Solanas,El viaje,1992-01-01,150,7,787,Adventure,"Juan Acosta, João Acaiabe, Héctor Gance"
3528,3528,tt0105750,The Bohemian Life,Aki Kaurismäki,La vie de bohÇùme,1992-01-01,103,7,5841,Comedy,"Sanna Fransman, Jean-Paul Wenzel, Christine Murillo, Matti Pellonpää"
3529,3529,tt0105752,Vieille canaille,Gérard Jourd'hui,Vieille canaille,1992-01-01,100,6,192,Comedy,Michel Serrault
3530,3530,tt0105756,Ville Çÿ vendre,Jean-Pierre Mocky,Ville Çÿ vendre,1992-01-01,100,6,133,Comedy,Michel Serrault
3531,3531,tt0105761,Virgina,Srdjan Karanovic,Virdzina,1991-01-01,101,7,539,Drama,"Marta Keler, Srdjan Karanovic, Miodrag Krivokapic"
3532,3532,tt0105775,Vsetko co mam rad,Martin Sulík,Vsetko co mam rad,1993-01-01,90,7,204,Drama,"Jakub Ursiny, Ondrej Sulaj, Dusan Milko, Juraj Nvota"
3533,3533,tt0105783,Warsaw: Year 5703,Janusz Kijowski,Warszawa. AnnǸe 5703,1992-01-01,110,6,182,Drama,"Piotr Cieslak, Tomasz Jarosz, Lambert Wilson"
3534,3534,tt0105785,The Washing Machine,Ruggero Deodato,Vortice mortale,1993-01-01,90,5,838,Crime,"Philippe Caroit, Philippe Caroit"
3535,3535,tt0105790,Waterland,Stephen Gyllenhaal,Waterland,1992-01-01,95,6,2345,Drama,"J. Michael Hunter, Grant Warnock, Jeremy Irons"
3536,3536,tt0105792,Waxwork II: Lost in Time,Anthony Hickox,Waxwork II: Lost in Time,1992-01-01,104,5,4683,Comedy,"Martin C. Jones, Caron Bernstein, Zach Galligan"
3537,3537,tt0105793,Wayne's World,Penelope Spheeris,Wayne's World,1992-01-01,94,7,162342,Comedy,"Tia Carrere, Frederick Coffin, Dana Carvey, Mike Myers"
3538,3538,tt0105796,The Cat,Ngai Choi Lam,Lo mau,1992-01-01,89,6,494,Action,"Gloria Yip, Christine Ng"
3539,3539,tt0105810,Where the Day Takes You,Marc Rocco,Where the Day Takes You,1992-01-01,105,6,3741,Crime,"Marc Rocco, Philip McKeon, Dermot Mulroney"
3540,3540,tt0105811,Whispers in the Dark,Christopher Crowe,Whispers in the Dark,1992-01-01,103,5,2317,Drama,"Teja Anderson, Annabella Sciorra"
3541,3541,tt0105812,White Men Can't Jump,Ron Shelton,White Men Can't Jump,1992-01-01,115,6,90157,Comedy,"Rosie Perez, Wesley Snipes, Ron Shelton"
3542,3542,tt0105813,White Sands,Roger Donaldson,White Sands,1992-01-01,101,6,8386,Action,"Steve Tyler, Patrick O'Hearn, Willem Dafoe"
3543,3543,tt0105820,Wild West,David Attwood,Wild West,1992-01-01,85,5,167,Adventure,Naveen Andrews
3544,3544,tt0105824,Wind,Carroll Ballard,Wind,1992-01-01,126,6,2955,Action,"Jay Brown, Matthew Modine"
3545,3545,tt0105839,Once Upon a Time in China II,Hark Tsui,Wong Fei Hung II: Nam yee tung chi keung,1992-01-01,113,7,10195,Action,"Tielin Zhang, Jet Li"
3546,3546,tt0105846,Lee Rock II,Lawrence Ah-Mon,Ng yee taam jeung: Lui Lok juen - Part II,1991-01-01,111,6,519,Crime,Chingmy Yau
3547,3547,tt0105851,Full Contact,Ringo Lam,Hap do Ko Fei,1992-01-01,99,7,4596,Action,"Bonnie Fu, Chow Yun-Fat"
3548,3548,tt0105857,Mr. Vampire 1992,Ricky Lau,Xin jiang shi xian sheng,1992-01-01,88,6,278,Horror,NONE
3549,3549,tt0105860,Kick Boxer's Tears,Da Wei Shen,Xin long zhong hu dou,1992-01-01,87,6,113,Crime,NONE
3550,3550,tt0105864,The Days of Being Dumb,Blackie Shou-Liang Ko,Ah Fei yu Ah Kei,1992-01-01,91,6,339,Action,"Anita Yuen, Tony Leung Chiu-wai"
3551,3551,tt0105866,Yalgaar,Feroz Khan,Yalgaar,1992-01-01,192,5,487,Action,"Mohan Bhandari, Vicky Arora, Naresh Suri, Feroz Khan"
3552,3552,tt0105869,Wicked City,Tai-Kit Mak,Yiu sau dou si,1992-01-01,87,5,1026,Action,"Tracy Huang, Michelle Reis, Leon Lai"
3553,3553,tt0105871,Year of the Comet,Peter Yates,Year of the Comet,1992-01-01,91,5,1706,Action,"Julia Waye, Julia McCarthy, Penelope Ann Miller"
3554,3554,tt0105883,Zai shi zhui hun,Siu-Hung Leung,Zai shi zhui hun,1993-01-01,85,6,109,Crime,Ray Lui
3555,3555,tt0105884,The Penknife,Ben Sombogaart,Het zakmes,1991-01-01,90,6,1167,Drama,Olivier Tuinier
3556,3556,tt0105885,Zebrahead,Anthony Drazan,Zebrahead,1992-01-01,100,6,1403,Drama,"Lianna Pai, Taunesha Butler, Candy Ann Brown, Michael Rapaport"
3557,3557,tt0105888,And Life Goes On,Abbas Kiarostami,Zendegi va digar hich,1992-01-01,95,7,6636,Adventure,NONE
3558,3558,tt0105899,The Golden Years,Davor Zmegac,Zlatne godine,1994-01-01,110,6,230,Drama,"Davor Zmegac, Biserka Fatur, Ilija Ivezic, Igor Galo"
3559,3559,tt0105908,Off Season,Daniel Schmid,Hors saison,1992-01-01,95,6,169,Comedy,"Renato Berta, Maddalena Fellini, Sami Frey"
3560,3560,tt0105911,Le zÇùbre,Jean Poiret,Le zÇùbre,1992-01-01,95,5,623,Comedy,"Caroline Cellier, Lova Moor, Alain Bernardin, Thierry Lhermitte"
3561,3561,tt0105912,Why Do They Call It Love When They Mean Sex?,Manuel Gómez Pereira,¶¨Por quǸ lo llaman amor cuando quieren decir sexo?,1993-01-01,99,5,530,Comedy,"Manolo Tena, Verónica Forqué"
3562,3562,tt0105915,Angel of Fire,Dana Rotberg,ǁngel de fuego,1992-01-01,95,6,204,Drama,"Dana Rotberg, Gina Morett, Alejandro Parodi"
3563,3563,tt0105916,House of Angels,Colin Nutley,Ç?nglagǾrd,1992-01-01,127,6,4933,Comedy,"Helena Bergström, Thabo Motsieola, László Horváth, Helena Bergström"
3564,3564,tt0105919,"Dear Emma, Sweet BÇôbe",István Szabó,"Ç?des Emma, drÇ­ga BÇôbe - vÇ­zlatok, aktok",1992-01-01,90,7,609,Drama,"Irén Bódis, Magda Darvas, Johanna ter Steege"
3565,3565,tt0105924,The Last Dive,João César Monteiro,O Ç?ltimo Mergulho,1992-01-01,88,7,311,Drama,"Christel Milhavet, Fabienne Babe"
3566,3566,tt0106185,The Innocent,John Schlesinger,The Innocent,1993-01-01,119,5,1619,Drama,"Marbo Becker, Isabella Rossellini"
3567,3567,tt0106203,Aaina,Deepak Sareen,Aaina,1993-01-01,149,6,690,Drama,"Amrita Singh, Jackie Shroff"
3568,3568,tt0106204,Aankhen,David Dhawan,Aankhen,1993-01-01,170,6,2147,Action,"Raageshwari, David Dhawan, Govinda"
3569,3569,tt0106207,The Abadanis,Kianoush Ayari,Abadani-Ha,1993-01-01,93,7,137,Drama,Kianoush Ayari
3570,3570,tt0106215,Mutant Action,Álex de la Iglesia,AcciÇün mutante,1993-01-01,93,6,5500,Comedy,"Ion Arretxe, Santiago Lajusticia, Antonio Resines"
3571,3571,tt0106216,Acting on Impulse,Sam Irvin,Acting on Impulse,1993-01-01,93,5,334,Comedy,C. Thomas Howell
3572,3572,tt0106217,The Act in Question,Alejandro Agresti,El acto en cuestiÇün,1993-01-01,106,7,275,Drama,"Jan Willem Winter, Carlos Roffé"
3573,3573,tt0106218,Ad Fundum,Erik Van Looy,Ad Fundum,1993-01-01,98,6,1345,Drama,"Tom Van Landuyt, Tom Van Landuyt"
3574,3574,tt0106220,Addams Family Values,Barry Sonnenfeld,Addams Family Values,1993-01-01,94,6,102675,Comedy,"Fred C. Blau Jr., Ian Abercrombie, Raul Julia, Anjelica Huston"
3575,3575,tt0106221,Aadmi Khilona Hai,J. Om Prakash,Aadmi Khilona Hai,1993-01-01,158,5,166,Drama,Sulabha Deshpande
3576,3576,tt0106223,The Adventures of Huck Finn,Stephen Sommers,The Adventures of Huck Finn,1993-01-01,108,6,8876,Adventure,"Mark Allen Branson, Richard Anders, Elijah Wood"
3577,3577,tt0106226,The Age of Innocence,Martin Scorsese,The Age of Innocence,1993-01-01,139,7,62411,Drama,"Robert Sean Leonard, Brian Davies, Martin Scorsese, Daniel Day-Lewis"
3578,3578,tt0106233,Airborne,Rob Bowman,Airborne,1993-01-01,91,6,7230,Adventure,"Jessica Bogart, Chris Conrad, Shane McDermott"
3579,3579,tt0106238,Al lupo al lupo,Carlo Verdone,Al lupo al lupo,1992-01-01,112,6,789,Comedy,"Giulia Verdone, Carlo Verdone"
3580,3580,tt0106240,Alex,Megan Simpson Huberman,Alex,1992-01-01,90,6,146,Drama,Cathy Godbold
3581,3581,tt0106246,Alive,Frank Marshall,Alive,1993-01-01,128,7,58146,Biography,"Aaron Neville, Danny Nucci, Sam Behrens, Ethan Hawke"
3582,3582,tt0106251,El amante bilingǬe,Vicente Aranda,El amante bilingǬe,1993-01-01,105,5,499,Comedy,"Pepa Rosado, Teresa Cunillé, Anna Briansó, Imanol Arias"
3583,3583,tt0106260,Amerikali,Serif Gören,Amerikali,1993-01-01,87,5,2247,Comedy,Sener Sen
3584,3584,tt0106264,Amongst Friends,Rob Weiss,Amongst Friends,1993-01-01,86,5,632,Crime,"Bernard Jaffe, Robert Canaan, Martin Haber"
3585,3585,tt0106266,Amos & Andrew,E. Max Frye,Amos & Andrew,1993-01-01,96,5,9473,Comedy,Nicolas Cage
3586,3586,tt0106270,Anari,K. Muralimohana Rao,Anari,1993-01-01,171,5,534,Comedy,Johny Lever
3587,3587,tt0106271,Anchoress,Chris Newby,Anchoress,1993-01-01,108,6,399,Drama,Chris Newby
3588,3588,tt0106283,Angie,Martin Lagestee,Angie,1993-01-01,93,5,102,Crime,"Angela Thompson, Ellen-Alinda Verhoeff"
3589,3589,tt0106286,Un'anima divisa in due,Silvio Soldini,Un'anima divisa in due,1993-01-01,124,7,157,Romance,"Vitalba Andrea, Fabrizio Bentivoglio"
3590,3590,tt0106287,Anmol,Ketan Desai,Anmol,1993-01-01,163,5,147,Drama,Rishi Kapoor
3591,3591,tt0106292,Another Stakeout,John Badham,Another Stakeout,1993-01-01,108,5,14947,Comedy,Richard Dreyfuss
3592,3592,tt0106296,From the Snow,Sotiris Goritsas,Ap' to hioni,1993-01-01,90,6,138,Drama,Gerasimos Skiadaressis
3593,3593,tt0106301,"The Tree, the Mayor and the Mediatheque",Éric Rohmer,"L'arbre, le maire et la mǸdiathÇùque",1993-01-01,105,6,1634,Comedy,"Jean Parvulesco, Pascal Greggory"
3594,3594,tt0106303,Arctic Blue,Peter Masterson,Arctic Blue,1993-01-01,95,5,1078,Action,"John 'Bear' Curtis, Michael Lawrenchuk, Rutger Hauer"
3595,3595,tt0106304,Land of Dreams,Daoud Abdel Sayed,Ard el ahlam,1993-01-01,118,7,259,Comedy,Faten Hamamah
3596,3596,tt0106305,The Red Squirrel,Julio Medem,La ardilla roja,1993-01-01,114,7,4721,Comedy,"Mikel Laskurain, Teresa Calo, Amaia Lizarralde, Cristina Marcos"
3597,3597,tt0106307,Arizona Dream,Emir Kusturica,Arizona Dream,1993-01-01,142,7,44501,Comedy,"David Rodriquez, Vincent Gallo, Emir Kusturica, Johnny Depp"
3598,3598,tt0106308,Army of Darkness,Sam Raimi,Army of Darkness,1992-01-01,81,7,183004,Comedy,"Sam Raimi, Lennie Appelquist, Deke Anderson, Bruce Campbell"
3599,3599,tt0106309,Joshua Tree,Vic Armstrong,Joshua Tree,1993-01-01,106,5,5973,Action,"Crystal Breeze, Kristian Alfonso, Mary Ingersoll, Dolph Lundgren"
3600,3600,tt0106312,Arriva la bufera,Daniele Luchetti,Arriva la bufera,1993-01-01,110,5,230,Comedy,"Dino Valdi, Diego Abatantuono"
3601,3601,tt0106315,Aspen Extreme,Patrick Hasburgh,Aspen Extreme,1993-01-01,113,6,3088,Drama,"Lynn Bopeley, Monica Olivares, Paul Gross"
3602,3602,tt0106319,Au nom du Christ,Roger Gnoan M'Bala,Au nom du Christ,1993-01-01,90,6,161,Comedy,Jean-Marie Adiaffi
3603,3603,tt0106327,Aux petits bonheurs,Michel Deville,Aux petits bonheurs,1994-01-01,103,5,134,Comedy,"Noël Lee, Anémone"
3604,3604,tt0106330,From Karkheh to Rhein,Ebrahim Hatamikia,Az Karkheh ta Rhein,1993-01-01,93,7,2954,Drama,NONE
3605,3605,tt0106332,Farewell My Concubine,Kaige Chen,Ba wang bie ji,1993-01-01,171,8,30508,Drama,"Kaige Chen, Leslie Cheung"
3606,3606,tt0106335,The Baby of Mǽcon,Peter Greenaway,The Baby of Mǽcon,1993-01-01,122,6,4714,Drama,Julia Ormond
3607,3607,tt0106339,Backbeat,Iain Softley,Backbeat,1994-01-01,100,6,6357,Biography,"Marcelle Duprey, Ian Hart, Alexei Jawdokimov, Stephen Dorff"
3608,3608,tt0106340,Bad Behaviour,Les Blair,Bad Behaviour,1993-01-01,104,5,218,Comedy,"Les Blair, Stephen Rea"
3609,3609,tt0106341,Bad Boy Bubby,Rolf de Heer,Bad Boy Bubby,1993-01-01,114,7,14390,Comedy,"Jamie Nicolai, James Bonifazio, Nicholas Hope"
3610,3610,tt0106342,The Bride with White Hair,Ronny Yu,Bak fat moh lui zyun,1993-01-01,89,6,3713,Action,"Jackie Yeung, Lok-Lam Law, Ronny Yu, Brigitte Lin"
