,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
4904,4904,tt0112750,Crying Freeman,Christophe Gans,Crying Freeman,1995-01-01,102,6,13180,"Yôko Shimada, Robert Lee, Christophe Gans, Julie Condra","Action,Crime,Thriller"
4905,4905,tt0112756,Cuore cattivo,Umberto Marino,Cuore cattivo,1995-01-01,92,6,139,"Germano Bellavia, Kim Rossi Stuart","Crime,Drama,NONE"
4906,4906,tt0112757,The Cure,Peter Horton,The Cure,1995-01-01,97,7,10210,"Brad Renfro, Andrew Broder, Laurie A. Sinclair, Joseph Mazzello","Adventure,Drama,NONE"
4907,4907,tt0112760,Cutthroat Island,Renny Harlin,Cutthroat Island,1995-01-01,124,5,29108,"Renny Harlin, Matthew Modine, Jerzy Celinski, Geena Davis","Action,Adventure,Comedy"
4908,4908,tt0112767,Cyclo,Anh Hung Tran,XÇðch lÇï,1995-01-01,123,7,5222,NONE,"Crime,Drama,NONE"
4909,4909,tt0112769,La CǸrǸmonie,Claude Chabrol,La cǸrǸmonie,1995-01-01,111,7,12783,"Claude Chabrol, Dominique Frot, Sandrine Bonnaire, Isabelle Huppert","Crime,Drama,Thriller"
4910,4910,tt0112772,The Adventurers,Ringo Lam,Da mao xian jia,1995-01-01,110,6,421,Andy Lau,"Action,Drama,NONE"
4911,4911,tt0112775,Dad and Dave: On Our Selection,George Whaley,Dad and Dave: On Our Selection,1995-01-01,107,6,218,"George Whaley, Robert Menzies, Leo McKern","Comedy,NONE,NONE"
4912,4912,tt0112777,Dadetown,Russ Hexter,Dadetown,1995-01-01,93,6,215,"Jim Pryor, Jim Pryor","Drama,NONE,NONE"
4913,4913,tt0112778,A Chinese Odyssey: Part One - Pandora's Box,Jeffrey Lau,Sai yau gei: Yut gwong bou haap,1995-01-01,87,7,7779,"Kit Ying Lam, Stephen Chow","Action,Adventure,Comedy"
4914,4914,tt0112779,Only Fools Fall in Love,Vincent Kok,Daai lo baai sau,1995-01-01,102,6,216,Roy Chiao,"Comedy,Drama,History"
4915,4915,tt0112792,Dangerous Minds,John N. Smith,Dangerous Minds,1995-01-01,99,6,54514,"George Dzundza, Rappin' 4-Tay, Skye Bassett, Michelle Pfeiffer","Biography,Drama,NONE"
4916,4916,tt0112800,The Blade,Hark Tsui,Dao,1995-01-01,105,7,3410,"Sonny Su, Wenzhuo Zhao","Action,NONE,NONE"
4917,4917,tt0112803,The Darien Gap,Brad Anderson,The Darien Gap,1996-01-01,92,6,109,Rob Locke Jones,"Comedy,NONE,NONE"
4918,4918,tt0112817,Dead Man,Jim Jarmusch,Dead Man,1995-01-01,121,7,99298,"Mili Avital, L.A. Johnson, Gibby Haynes, Johnny Depp","Adventure,Drama,Fantasy"
4919,4919,tt0112818,Dead Man Walking,Tim Robbins,Dead Man Walking,1995-01-01,122,7,97646,"Sean Penn, Susan Sarandon, Tim Robbins","Crime,Drama,NONE"
4920,4920,tt0112849,Desert Winds,Michael A. Nickles,Desert Winds,1994-01-01,97,5,162,Adam Ant,"Drama,Mystery,Romance"
4921,4921,tt0112851,Desperado,Robert Rodriguez,Desperado,1995-01-01,104,7,190038,"Carlos Santana, Kelly Frazier, Salma Hayek, Antonio Banderas","Action,Crime,Thriller"
4922,4922,tt0112856,Two Orphan Vampires,Jean Rollin,Les deux orphelines vampires,1997-01-01,103,5,788,Gudule,"Drama,Fantasy,Horror"
