,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
5085,tt0113623,The Graduates,Leonardo Pieraccioni,I laureati,1995-01-01,88,6,1439,Comedy,"Mariolina De Fano, Elisabetta Cavallotti, Massimo Ceccherini"
5086,tt0113627,Leaving Las Vegas,Mike Figgis,Leaving Las Vegas,1995-01-01,111,7,128073,Drama,"Carey Lowell, Mariska Hargitay, Nicolas Cage"
5090,tt0113649,Freedomfighters,Vicente Aranda,Libertarias,1996-01-01,125,6,2117,Drama,"Vicente Aranda, Joan Grau, Yolanda Pallín, Ana Belén"
5095,tt0113670,A Little Princess,Alfonso Cuarón,A Little Princess,1995-01-01,97,7,35461,Drama,"Rachael Bella, Rahi Azizi, Eleanor Bron, Liesel Matthews"
5097,tt0113674,Live Nude Girls,Julianna Lavin,Live Nude Girls,1995-01-01,95,5,1943,Comedy,NONE
5099,tt0113677,Living in Oblivion,Tom DiCillo,Living in Oblivion,1995-01-01,90,7,19093,Comedy,"Tom DiCillo, Steve Buscemi"
5100,tt0113682,Loch Ness,John Henderson,Loch Ness,1996-01-01,101,5,4641,Adventure,"Johnny Irving, Janette Foggo, Ted Danson"
5101,tt0113690,Lord of Illusions,Clive Barker,Lord of Illusions,1995-01-01,109,6,18313,Horror,"Mikey LeBeau, Ashley Tesoro, J. Trevor Edmond, Scott Bakula"
5102,tt0113691,Losing Isaiah,Stephen Gyllenhaal,Losing Isaiah,1993-01-01,111,6,6305,Drama,"Jackie Samuel, Jessica Lange"
5103,tt0113703,Love Letter,Shunji Iwai,Love Letter,1995-01-01,117,7,9900,Drama,"Takashi Kashiwabara, Kaori Oguri, Miki Sakai, Miho Nakayama"
5104,tt0113720,Love Lessons,Bo Widerberg,Lust och fÇÏgring stor,1995-01-01,130,6,6929,Drama,"Sigge Cederlund, Mikael Bengtsson, Per Holst, Johan Widerberg"
5105,tt0113725,Maborosi,Kore-eda Hirokazu,Maboroshi no hikari,1995-01-01,110,7,6634,Drama,"Makiko Esumi, Makiko Esumi"
5106,tt0113729,Mad Love,Antonia Bird,Mad Love,1995-01-01,93,5,6769,Comedy,"Davey Faragher, Chris O'Donnell"
5109,tt0113737,Magic in the Water,Rick Stevenson,Magic in the Water,1995-01-01,98,5,2047,Adventure,"Clyde Klotz, Sarah Wayne, Peter Baer, Mark Harmon"
5110,tt0113748,Malicious,Ian Corson,Malicious,1995-01-01,92,5,1377,Drama,"Stephen Benoit, Molly Ringwald"
5111,tt0113749,Mallrats,Kevin Smith,Mallrats,1995-01-01,94,7,125127,Comedy,"Shannen Doherty, Claire Forlani, Walter Flanagan, Shannen Doherty"
5112,tt0113755,Man of the House,James Orr,Man of the House,1995-01-01,96,5,9968,Comedy,"Zachary Browne, Chevy Chase"
5114,tt0113757,A Chinese Torture Chamber Story,Bosco Lam,Moon ching sap dai huk ying,1994-01-01,88,5,1368,Comedy,"Yvonne Hung Yung, Yvonne Hung Yung"
5119,tt0113774,Margaret's Museum,Mort Ransen,Margaret's Museum,1995-01-01,114,7,1367,Drama,Helena Bonham Carter
5122,tt0113808,Miami Rhapsody,David Frankel,Miami Rhapsody,1995-01-01,95,5,3437,Comedy,"Elodia Riovega, Sarah Jessica Parker"
5123,tt0113819,Mighty Aphrodite,Woody Allen,Mighty Aphrodite,1995-01-01,95,7,41247,Comedy,"F. Murray Abraham, Lisa Vidal, Walter Iooss Jr., Woody Allen"
5124,tt0113820,Mighty Morphin Power Rangers,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,1995-01-01,95,5,28535,Action,"Nicholas Bell, Robert Axelrod, David W. Rose, Karan Ashley"
5125,tt0113824,Whisper of the Heart,Yoshifumi Kondô,Mimi wo sumaseba,1995-01-01,111,7,65685,Animation,"David Gallagher, Shigeru Tsuyuguchi, Shirô Kishibe, Yoko Honna"
5127,tt0113828,Les MisǸrables,Claude Lelouch,Les misǸrables,1995-01-01,175,7,3901,Drama,"Paul Belmondo, Annie Girardot, Pierre-Alexis Hollenbeck, Jean-Paul Belmondo"
5132,tt0113845,Money Train,Joseph Ruben,Money Train,1995-01-01,110,5,41922,Action,"Melissa Etheridge, Gloria Estefan, Timothy M. Bourne, Wesley Snipes"
5133,tt0113849,A Month by the Lake,John Irvin,A Month by the Lake,1995-01-01,92,6,2522,Comedy,"Carlo Cartier, Ali Bongo, Vanessa Redgrave"
5135,tt0113851,Moonlight and Valentino,David Anspaugh,Moonlight and Valentino,1995-01-01,105,5,3815,Comedy,Elizabeth Perkins
5136,tt0113855,Mortal Kombat,Paul W.S. Anderson,Mortal Kombat,1995-01-01,101,5,120343,Action,"Talisa Soto, Ed Boon, Christopher Lambert"
5138,tt0113862,Mr. Holland's Opus,Stephen Herek,Mr. Holland's Opus,1995-01-01,143,7,40534,Drama,"Jean Louisa Kelly, Jordan Carlton, Patrick Sheane Duncan, Richard Dreyfuss"
5139,tt0113870,Murder in the First,Marc Rocco,Murder in the First,1995-01-01,122,7,29382,Drama,"Fred Murphy, Amanda Borden, Charlotte A. Baker, Christian Slater"
5142,tt0113896,My Family,Gregory Nava,My Family,1995-01-01,128,7,4293,Drama,"Maria Canals-Barrera, Jenny Gago, Eduardo López Rojas, Jimmy Smits"
5145,tt0113918,Nobody Will Speak of Us When We're Dead,Agustín Díaz Yanes,Nadie hablarÇ­ de nosotras cuando hayamos muerto,1995-01-01,104,6,2098,Crime,"Antoñete, Curro Vázquez, Pilar Bardem, Victoria Abril"
5146,tt0113922,Like Grains of Sand,Ryosuke Hashiguchi,Nagisa no Shindobaddo,1995-01-01,129,7,1486,Drama,"Hiroko Anzai, Yoshinori Okada"
5149,tt0113932,Napoleon,Mario Andreacchio,Napoleon,1995-01-01,81,6,1944,Adventure,"Mario Andreacchio, Carolyn Sloan, Jamie Croft"
5150,tt0113936,National Lampoon's Senior Trip,Kelly Makin,Senior Trip,1995-01-01,91,5,6101,Adventure,"Fiona Loewi, Paris Chong, Matt Frewer"
5151,tt0113939,The Nature of the Beast,Victor Salva,The Nature of the Beast,1995-01-01,91,6,2229,Crime,Eric Roberts
5154,tt0113947,Nelly & Monsieur Arnaud,Claude Sautet,Nelly & Monsieur Arnaud,1995-01-01,106,7,4857,Drama,"Michel Serrault, Claire Nadeau, Thierry Heckendorn, Emmanuelle Béart"
5156,tt0113957,The Net,Irwin Winkler,The Net,1995-01-01,114,6,70262,Action,"Curran G. Engel, L. Scott Caldwell, Margie Balter, Sandra Bullock"
5158,tt0113965,Never Talk to Strangers,Peter Hall,Never Talk to Strangers,1995-01-01,86,5,7017,Crime,"Johnnie Eisen, Kelley Grando, Alan Anton, Rebecca De Mornay"
